experiment_name,loss_mode
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice
bce_dice__mix_weight-0.2__dice_smooth-1e-06,bce_dice
bce_dice__mix_weight-0.2__dice_smooth-1e-05,bce_dice
bce_dice__mix_weight-0.5__dice_smooth-1e-07,bce_dice
bce_dice__mix_weight-0.5__dice_smooth-1e-06,bce_dice
bce_dice__mix_weight-0.5__dice_smooth-1e-05,bce_dice
bce_dice__mix_weight-0.8__dice_smooth-1e-07,bce_dice
bce_dice__mix_weight-0.8__dice_smooth-1e-06,bce_dice
bce_dice__mix_weight-0.8__dice_smooth-1e-05,bce_dice
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-1__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-1__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-1__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix
dice_focal__mix_weight-0.2__gamma-1,dice_focal
dice_focal__mix_weight-0.2__gamma-2,dice_focal
dice_focal__mix_weight-0.2__gamma-3,dice_focal
dice_focal__mix_weight-0.5__gamma-1,dice_focal
dice_focal__mix_weight-0.5__gamma-2,dice_focal
dice_focal__mix_weight-0.5__gamma-3,dice_focal
dice_focal__mix_weight-0.8__gamma-1,dice_focal
dice_focal__mix_weight-0.8__gamma-2,dice_focal
dice_focal__mix_weight-0.8__gamma-3,dice_focal
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.8__beta-0.2,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky
